Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2312809,Senador Sá (CE),52153,1948,4774,1480,14362,29589
2312908,Sobral (CE),4579749,538426,37397,923685,2266613,813628
2313005,Solonópole (CE),219037,12675,32647,27795,70900,75020
2313104,Tabuleiro do Norte (CE),368274,30064,31418,17528,181060,108203
2313203,Tamboril (CE),239925,8896,46245,6851,73176,104757
2313252,Tarrafas (CE),68794,2496,8661,2365,17337,37935
2313302,Tauá (CE),661894,51271,62305,39195,289578,219546
2313351,Tejuçuoca (CE),132703,5209,10202,5407,33836,78049
2313401,Tianguá (CE),1463955,156497,276576,181870,572737,276275
2313500,Trairi (CE),784875,41514,45043,297738,198731,201849
2313559,Tururu (CE),115987,4133,10143,6896,29001,65815
2313609,Ubajara (CE),580855,40906,132802,103386,166695,137065
2313708,Umari (CE),56732,2147,6988,1701,14266,31630
2313757,Umirim (CE),158147,8544,21435,7525,41266,79378
2313807,Uruburetama (CE),295583,17647,32576,91370,68548,85443
2313906,Uruoca (CE),177288,8136,19622,48011,45810,55709
2313955,Varjota (CE),335951,13511,140681,13652,92877,75230
2314003,Várzea Alegre (CE),397791,27735,41739,28791,150848,148679
2314102,Viçosa do Ceará (CE),482347,20321,103192,15724,131005,212106
2400109,Acari (RN),130732,7207,12602,16253,34591,60080
2400208,Açu (RN),1241657,76362,30311,386927,454833,293223
2400307,Afonso Bezerra (RN),101972,3599,7050,4250,21586,65487
2400406,Água Nova (RN),27920,636,743,1159,6033,19350
2400505,Alexandria (RN),145449,6836,4411,4757,55622,73824
2400604,Almino Afonso (RN),40214,1331,1882,1863,10208,24929
2400703,Alto do Rodrigues (RN),488266,34022,15909,235971,113168,89196
2400802,Angicos (RN),146065,8586,5019,8792,56322,67346
2400901,Antônio Martins (RN),58393,1880,2473,5006,11893,37141
2401008,Apodi (RN),514270,32431,54230,78411,168489,180709
2401107,Areia Branca (RN),736833,58690,18656,268324,224465,166698
2401206,Arês (RN),309640,23821,110682,40250,50342,84545
2401305,Augusto Severo (RN),98243,4157,9139,5999,26888,52061
2401404,Baía Formosa (RN),162876,5865,54533,22560,27541,52377
2401453,Baraúna (RN),656248,71158,68929,167518,186177,162467
2401503,Barcelona (RN),40465,1241,1237,1535,9521,26932
